url,inlink_count,source_type_count,source_types,sample_sources,status
https://senseisandy.com/videos/hip-bump-sweep-cross-collar-choke-mount-detail-spiderweb-feorkwvxnre,13,1,video-related,videos/25-for-2025-mzi3kdzmau8.html|videos/4pm-class-5wxyfr6f2yc.html|videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4.html|videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html|videos/6pm-adults-ns5gbmsjw9i.html,fail
https://senseisandy.com/videos/how-stand-up-safely-bjj-kickstand-head-position-zmmvel-pf2u,33,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/25-2025-mzi3kdzmau8.html|videos/adults.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-paodmopivnk.html,pass
https://senseisandy.com/videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-get-ups-loop-choke-finish-zmmVEl-pf2U,29,1,video-related,videos/25-for-2025-MZI3kDzmaU8.html|videos/4pm-class-5wXyFR6f2yc.html|videos/5pm-teens-Jmr7M3E5CoM.html|videos/6pm-adults-NS5gBmsJW9I.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html,fail
https://senseisandy.com/videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-zmmvel-pf2u,21,1,video-related,videos/25-for-2025-mzi3kdzmau8.html|videos/4pm-class-5wxyfr6f2yc.html|videos/5pm-teens-jmr7m3e5com.html|videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4.html|videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html,fail
https://senseisandy.com/videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-pass-takedown-cross-body-pin-uk16CCtsKk8,13,1,video-related,videos/4pm-kid-takedowns-in-tannersville-IsRHsAKxmCo.html|videos/4pm-kids-5K-uN3MYncU.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-mount-escape-shin-ride-crackdown-CxcAeOXc1E4.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY.html,fail
https://senseisandy.com/videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-uk16cctskk8,13,1,video-related,videos/4pm-kid-takedowns-in-tannersville-isrhsakxmco.html|videos/4pm-kids-5k-un3myncu.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-cxcaeoxc1e4.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-ecxel1po6ue.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy.html,fail
https://senseisandy.com/videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-uk16cctskk8,25,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/4pm-kid-takedowns-tannersville-isrhsakxmco.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-roll-cxcaeoxc1e4.html|videos/bjj-fundamentals-catskills-belt-tie-breakfalls-mount-escape-ecxel1po6ue.html|videos/breakfalls-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy.html,pass
https://senseisandy.com/videos/kids-adults-bjj-class-snap-downs-loop-choke-pksqic7garu,19,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/4pm-kid-takedowns-tannersville-isrhsakxmco.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-roll-cxcaeoxc1e4.html|videos/hair-grab-self-defense-duck-hug-takedown-mount-db1lfepopv4.html|videos/index.html,pass
https://senseisandy.com/videos/kids-adults-bjj-class-snap-downs-loop-choke-seatbelt-back-control-closed-guard-live-rounds-PksQic7GArU,9,1,video-related,videos/4pm-kid-takedowns-in-tannersville-IsRHsAKxmCo.html|videos/4pm-kids-5K-uN3MYncU.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-mount-escape-shin-ride-crackdown-CxcAeOXc1E4.html|videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-youth-adult-bjj-class-db1LFEPOPv4.html|videos/kids-bjj-safety-class-side-breakfall-don-t-fall-like-a-banana-stability-ball-wrestling-lkW9SJ9v2TI.html,fail
https://senseisandy.com/videos/kids-adults-bjj-class-snap-downs-loop-choke-seatbelt-back-pksqic7garu,9,1,video-related,videos/4pm-kid-takedowns-in-tannersville-isrhsakxmco.html|videos/4pm-kids-5k-un3myncu.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-cxcaeoxc1e4.html|videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-db1lfepopv4.html|videos/kids-bjj-safety-class-side-breakfall-don-t-fall-like-a-lkw9sj9v2ti.html,fail
