url,intended_source,local_file_present,reachable_from_home,incoming_internal_links,sample_sources,status
https://senseisandy.com/bjj-glossary/leg-drag,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/backstep-pass|/bjj-glossary/long-step|/bjj-glossary/mount-transition|/bjj-glossary/reverse-de-la-riva|/bjj-glossary/windshield-wiper,pass
https://senseisandy.com/bjj-glossary/leg-entanglement,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/ankle-lock|/bjj-glossary/k-guard|/bjj-glossary/knee-line|/bjj-glossary/x-guard,pass
https://senseisandy.com/bjj-glossary/level-change,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/double-leg-defense|/bjj-glossary/penetration-step|/bjj-glossary/re-shot|/bjj-glossary/shot-entry,pass
https://senseisandy.com/bjj-glossary/long-step,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/backstep-pass|/bjj-glossary/leg-drag|/bjj-glossary/windshield-wiper,pass
https://senseisandy.com/bjj-glossary/mat-return,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/top-ride,pass
https://senseisandy.com/bjj-glossary/mount,local+self_sitemap,yes,yes,16,/bjj-glossary|/bjj-glossary/armbar|/bjj-glossary/back-control|/bjj-glossary/base|/bjj-glossary/bridge|/bjj-glossary/cross-collar-choke,pass
https://senseisandy.com/bjj-glossary/mount-transition,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/heavy-hips|/bjj-glossary/knee-slide|/bjj-glossary/windshield-wiper,pass
https://senseisandy.com/bjj-glossary/neutral-position,local+self_sitemap,yes,yes,8,/bjj-glossary|/bjj-glossary/double-leg|/bjj-glossary/inside-position|/bjj-glossary/pummel|/bjj-glossary/single-leg|/bjj-glossary/sprawl,pass
https://senseisandy.com/bjj-glossary/no-gi,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/gi|/bjj-glossary/grip-fighting|/bjj-glossary/guillotine,pass
https://senseisandy.com/bjj-glossary/north-south,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/kimura,pass
https://senseisandy.com/bjj-glossary/off-balance,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/de-la-riva|/bjj-glossary/inside-trip|/bjj-glossary/k-guard|/bjj-glossary/outside-trip|/bjj-glossary/waiter-sweep,pass
https://senseisandy.com/bjj-glossary/open-guard,local+self_sitemap,yes,yes,7,/bjj-glossary|/bjj-glossary/butterfly-guard|/bjj-glossary/de-la-riva|/bjj-glossary/guard-retention|/bjj-glossary/k-guard|/bjj-glossary/re-guard,pass
https://senseisandy.com/bjj-glossary/open-guard-pass,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/backstep-pass|/bjj-glossary/guard-pass|/bjj-glossary/leg-drag|/bjj-glossary/long-step|/bjj-glossary/tripod-sweep,pass
https://senseisandy.com/bjj-glossary/outside-trip,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/inside-trip|/bjj-glossary/off-balance,pass
https://senseisandy.com/bjj-glossary/overhook,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/outside-trip|/bjj-glossary/pummel|/bjj-glossary/whizzer|/bjj-glossary/whizzer-defense,pass
https://senseisandy.com/bjj-glossary/penetration-step,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/level-change|/bjj-glossary/shot-entry,pass
https://senseisandy.com/bjj-glossary/pin,local+self_sitemap,yes,yes,10,/bjj-glossary|/bjj-glossary/chest-to-chest|/bjj-glossary/control|/bjj-glossary/crossface|/bjj-glossary/dominant-position|/bjj-glossary/knee-cut,pass
https://senseisandy.com/bjj-glossary/pin-escape,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/posture,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/base|/bjj-glossary/closed-guard|/bjj-glossary/updates|/updates,pass
https://senseisandy.com/bjj-glossary/posture-break,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/lapel-grip|/bjj-glossary/wrist-control,pass
https://senseisandy.com/bjj-glossary/posture-recovery,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/front-headlock-escape|/front-headlock-escape,pass
https://senseisandy.com/bjj-glossary/pressure,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/body-lock-pass|/bjj-glossary/chest-to-chest|/bjj-glossary/heavy-hips|/bjj-glossary/shoulder-pressure,pass
https://senseisandy.com/bjj-glossary/pummel,local+self_sitemap,yes,yes,9,/bjj-glossary|/bjj-glossary/body-lock|/bjj-glossary/clinch|/bjj-glossary/hand-fighting|/bjj-glossary/inside-position|/bjj-glossary/inside-tie,pass
https://senseisandy.com/bjj-glossary/quarter-guard,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/re-guard,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/re-shot,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/rear-naked-choke,local+self_sitemap,yes,yes,7,/bjj-glossary|/bjj-glossary/back-defense|/bjj-glossary/back-take|/bjj-glossary/chest-to-back|/bjj-glossary/choke|/bjj-glossary/seatbelt-escape,pass
https://senseisandy.com/bjj-glossary/reverse-de-la-riva,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/de-la-riva|/bjj-glossary/k-guard,pass
https://senseisandy.com/bjj-glossary/safety,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/beginner-lane|/bjj-glossary/bully-proof|/bjj-glossary/tap|/bjj-glossary/updates|/updates,pass
https://senseisandy.com/bjj-glossary/scissor-sweep,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/scramble,local+self_sitemap,yes,yes,11,/bjj-glossary|/bjj-glossary/go-behind|/bjj-glossary/go-behind-defense|/bjj-glossary/granby-roll|/bjj-glossary/hip-heist|/bjj-glossary/mat-return,pass
https://senseisandy.com/bjj-glossary/seatbelt,local+self_sitemap,yes,yes,7,/bjj-glossary|/bjj-glossary/back-defense|/bjj-glossary/back-take|/bjj-glossary/chest-to-back|/bjj-glossary/hooks|/bjj-glossary/rear-naked-choke,pass
https://senseisandy.com/bjj-glossary/seatbelt-escape,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/back-defense,pass
https://senseisandy.com/bjj-glossary/seated-guard,local+self_sitemap,yes,yes,7,/bjj-glossary|/bjj-glossary/butterfly-hook|/bjj-glossary/butterfly-sweep|/bjj-glossary/guard-pull|/bjj-glossary/open-guard-pass|/bjj-glossary/technical-stand-up,pass
https://senseisandy.com/bjj-glossary/shot-entry,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/double-leg-defense|/bjj-glossary/level-change|/bjj-glossary/penetration-step|/bjj-glossary/re-shot,pass
https://senseisandy.com/bjj-glossary/shoulder-pressure,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/crossface-pressure|/bjj-glossary/head-line,pass
https://senseisandy.com/bjj-glossary/shrimp,local+self_sitemap,yes,yes,26,/bjj-glossary|/bjj-glossary/bottom-position|/bjj-glossary/bridge|/bjj-glossary/choke|/bjj-glossary/drilling|/bjj-glossary/frame,pass
https://senseisandy.com/bjj-glossary/sickle-sweep,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/side-control,local+self_sitemap,yes,yes,36,/bjj-glossary|/bjj-glossary/back-control|/bjj-glossary/backstep-pass|/bjj-glossary/body-lock-pass|/bjj-glossary/bridge|/bjj-glossary/chest-to-chest,pass
https://senseisandy.com/bjj-glossary/single-leg,local+self_sitemap,yes,yes,11,/bjj-glossary|/bjj-glossary/double-leg|/bjj-glossary/level-change|/bjj-glossary/penetration-step|/bjj-glossary/re-shot|/bjj-glossary/shot-entry,pass
https://senseisandy.com/bjj-glossary/single-leg-defense,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/whizzer-defense,pass
https://senseisandy.com/bjj-glossary/sleeve-grip,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/collar-grip|/bjj-glossary/lapel-grip|/bjj-glossary/sickle-sweep,pass
https://senseisandy.com/bjj-glossary/snap-down,local+self_sitemap,yes,yes,8,/bjj-glossary|/bjj-glossary/ankle-pick|/bjj-glossary/collar-tie|/bjj-glossary/front-headlock|/bjj-glossary/front-headlock-series|/bjj-glossary/snap-down-defense,pass
https://senseisandy.com/bjj-glossary/spin-behind,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/front-headlock-series|/front-headlock-series,pass
https://senseisandy.com/bjj-glossary/sprawl,local+self_sitemap,yes,yes,11,/bjj-glossary|/bjj-glossary/double-leg|/bjj-glossary/front-headlock|/bjj-glossary/front-headlock-escape|/bjj-glossary/head-position|/bjj-glossary/single-leg,pass
https://senseisandy.com/bjj-glossary/sprawl-defense,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/double-leg-defense|/bjj-glossary/heavy-hips|/bjj-glossary/re-shot|/bjj-glossary/single-leg-defense|/bjj-glossary/spin-behind,pass
https://senseisandy.com/bjj-glossary/submission,local+self_sitemap,yes,yes,8,/bjj-glossary|/bjj-glossary/choke|/bjj-glossary/jiu-jitsu|/bjj-glossary/position|/bjj-glossary/tap|/bjj-glossary/triangle,pass
https://senseisandy.com/bjj-glossary/sweep,local+self_sitemap,yes,yes,23,/bjj-glossary|/bjj-glossary/base|/bjj-glossary/bridge|/bjj-glossary/butterfly-guard|/bjj-glossary/butterfly-hook|/bjj-glossary/butterfly-sweep,pass
https://senseisandy.com/bjj-glossary/takedown,local+self_sitemap,yes,yes,21,/bjj-glossary|/bjj-glossary/ankle-pick|/bjj-glossary/arm-drag|/bjj-glossary/body-lock|/bjj-glossary/clinch|/bjj-glossary/double-leg,pass
https://senseisandy.com/bjj-glossary/takedown-defense,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/single-leg-defense|/bjj-glossary/whizzer,pass
https://senseisandy.com/bjj-glossary/tap,local+self_sitemap,yes,yes,23,/bjj-glossary|/bjj-glossary/armbar|/bjj-glossary/back-control|/bjj-glossary/beginner-lane|/bjj-glossary/bridge|/bjj-glossary/choke,pass
